path,avg_volume,last_volume,RSI,Close_price,low_BB,label
flet\рисунок1.png,7966.866084651163,12490.51852,48.144366320338,198.93,194.11033008646305,0
flet\рисунок2.png,7945.199760697674,8316.19098,44.38399494624437,197.69,194.18409554239676,0
flet\рисунок3.png,7943.405529136213,3491.19392,47.22694419320798,198.45,194.22406977030624,0
flet\рисунок4.png,7937.281091727575,6059.82812,51.75096528261886,199.63,194.20726273500276,0
flet\рисунок6.png,4252.434634219268,13097.24441,33.38381409174283,222.15,219.71194254708504,0
flet\рисунок7.png,4347.711414119602,18161.51292,42.17885673773535,223.91,219.8567909988712,0
flet\рисунок8.png,4423.124793887043,16150.77905,44.1520275716347,224.28,220.22843161319295,0
flet\рисунок9.png,5571.31346345515,12065.61,18.16417939372603,4101.76,4040.969330864296,0
flet\рисунок10.png,5623.410073754153,12847.0236,15.999261493496425,4059.07,3979.424858387581,0
flet\рисунок11.png,5639.037037873754,6662.5631,20.32964902078953,4071.35,3934.699570488268,0
flet\рисунок12.png,5689.426843853821,16015.0378,18.342877419871648,4040.39,3904.629658936335,0
flet\рисунок13.png,7966.866084651163,12490.51852,48.144366320338,198.93,194.11033008646305,0
flet\рисунок14.png,7945.199760697674,8316.19098,44.38399494624437,197.69,194.18409554239676,0
flet\рисунок15.png,7943.405529136213,3491.19392,47.22694419320798,198.45,194.22406977030624,0
flet\рисунок16.png,7937.281091727575,6059.82812,51.75096528261886,199.63,194.20726273500276,0
flet\рисунок18.png,4252.434634219268,13097.24441,33.38381409174283,222.15,219.71194254708504,0
flet\рисунок19.png,4347.711414119602,18161.51292,42.17885673773535,223.91,219.8567909988712,0
flet\рисунок20.png,4423.124793887043,16150.77905,44.1520275716347,224.28,220.22843161319295,0
flet\рисунок21.png,5571.31346345515,12065.61,18.16417939372603,4101.76,4040.969330864296,0
flet\рисунок22.png,5623.410073754153,12847.0236,15.999261493496425,4059.07,3979.424858387581,0
flet\рисунок23.png,5639.037037873754,6662.5631,20.32964902078953,4071.35,3934.699570488268,0
flet\рисунок24.png,5689.426843853821,16015.0378,18.342877419871648,4040.39,3904.629658936335,0
flet\рисунок25.png,7966.866084651163,12490.51852,48.144366320338,198.93,194.11033008646305,0
flet\рисунок26.png,7945.199760697674,8316.19098,44.38399494624437,197.69,194.18409554239676,0
flet\рисунок27.png,7943.405529136213,3491.19392,47.22694419320798,198.45,194.22406977030624,0
